,average_syll_pause_duration,No._long_pause,speaking_time,ave_No._of_words_in_minutes,articulation_rate,No._words_in_minutes,formants_index,f0_index,f0_quantile_25_index,f0_quantile_50_index,f0_quantile_75_index,f0_std,f0_max,f0_min,No._detected_vowel,perc%._correct_vowel,(f2/f1)_mean,(f2/f1)_std,no._of_words,no._of_pauses,intonation_index,(voiced_syll_count)/(no_of_pause),TOEFL_Scale_Score,Prosody_CFER_Score,Score_Shannon_index,CEFR_Scale_Score,speaking_rate
count,9215.0,9215.0,9215.0,9215.0,9215.0,9215.0,9215.0,9215.0,9215.0,9215.0,9215.0,9215.0,9215.0,9215.0,9215.0,9215.0,9215.0,9215.0,9215.0,9215.0,9215.0,9215.0,9215.0,9215.0,9215.0,9215.0,9215.0
mean,1.022189906781986,13.424863593491047,45.27465436787846,2.2988845919278353,3.999041998694086,92.40670623941726,368.75371390002175,0.9780207149252306,1.0111475558413456,153.6265796256473,0.9015552017603906,37.795763727529895,373.8412583151243,79.2156150184981,64.95594139989149,0.5771002735119913,2.44303679876408,0.7344553464887683,87.74270211611503,19.90482908301682,6.982419967444384,11.357713178270755,18.532284319045036,2.644275637547477,2.4210469886055344,2.644275637547477,2.681038499417689
std,1.0904744369623116,12.62303128901088,15.374886291115947,0.3403199802065484,0.5971031049006474,24.711844903529112,21.8910264791762,0.1245399983934506,0.15255995647732065,45.73879623064554,0.1258521406732292,15.260245769479319,49.30264915484194,8.804061983946362,27.410897369009685,0.18685375007192484,0.2936491870329239,0.20172172981633135,36.45783823273132,8.336409110367383,1.41839568688888,19.295917426529616,5.412606030275211,0.7745641302773939,0.6886615676746078,0.7745641302773939,0.7218532488499114
min,0.304,2.099215732,3.09,0.284667286,0.49532107799999997,10.26180624,327.06,0.714556564,0.47347555,84.62128054,0.518975039,3.0976719619999997,96.1258469,53.962313,2.0,0.015,1.158854295,0.26184914600000003,10.0,1.0,4.0,0.7241379309999999,9.0,1.0,0.9079999999999999,1.0,0.297592381
25%,0.693382275,6.014582766,37.495000000000005,2.1173274805,3.6874689235,77.673778955,351.31092609999996,0.891563723,0.9280129365,113.10206505000001,0.8183189025,26.59524364,368.4163796,75.13670567,48.0,0.454545455,2.262557074,0.6061884989999999,68.0,15.0,6.0,5.428571429,14.0,2.0,1.926,2.0,2.2458153825
50%,0.827201814,8.719141561,44.3,2.318307326,4.0039383939999995,94.47345272,374.97816739999996,0.972054822,1.014641455,139.4596371,0.893707445,36.81092017,394.6676607,79.76850738,64.0,0.571428571,2.446983688,0.700816656,85.0,20.0,7.0,7.352941176,19.0,3.0,2.48,3.0,2.7515932189999996
75%,1.0430215805,15.12135488,53.17,2.5119777125000002,4.355292819000001,109.00766005,386.8980165,1.0606678305,1.1106001055,193.04920149999998,0.974824973,46.885644355,398.81497525,80.9908249,81.0,0.7173913040000001,2.6298237425,0.8258713280000001,103.0,25.0,8.0,10.30625,22.0,3.0,2.898,3.0,3.13583569
max,55.25070975,113.15333329999999,225.31,5.102207419,8.877840909,239.64914500000003,399.7898889,1.8753287669999998,2.1343981640000003,394.0009528,1.6771613619999999,144.5606065,433.2632011,389.51986949999997,304.0,0.970588235,5.492724592999999,4.023919942,489.0,93.0,10.0,318.0,30.0,4.0,3.97,4.0,6.949825204
