0.304,59.937,59.94,2.67,4.645,159.363,394.34,1.007,1.006,109.588,0.873,46.513,401.081,70.846,3,0.015,1.316,1.152,159,1,7,277,28,a,3.68,C,4.622
0.304,60.721,60.72,1.75,3.046,104.492,394.34,1.105,1.148,120.113,0.935,44.496,401.139,81.422,4,0.015,1.362,1.183,106,1,6,184,16,b2,2.02,B1,3.03
0.32,45.413,45.41,2.447,4.258,145.789,390.2,1.202,1.218,133.261,1.042,50.478,399.882,76.634,3,0.25,1.355,1.192,110,1,5,192,22,c,2.975,B2,4.228
0.32,60.877,60.88,2.619,4.558,156.335,327.06,1.16,0.889,98.239,0.726,103.26,398.457,80.005,2,0.5,1.647,1.435,159,1,6,276,26,a,3.44,C,4.534
0.32,60.747,60.75,3.024,5.263,180.512,394.34,0.786,0.884,91.248,0.686,11.87,397.54,79.001,2,0.015,1.389,1.205,183,1,4,318,26,a,3.432,C,5.235
0.32,45.282,45.28,2.352,4.092,140.118,390.2,1.127,1.153,123.37,0.991,39.213,398.495,80.312,4,0.25,1.546,1.355,106,1,6,184,21,c,2.8,B2,4.063
0.32,42.722,42.72,1.816,3.16,108.157,394.34,0.898,0.988,100.781,0.733,27.413,310.085,81.029,4,0.015,1.243,1.077,77,1,8,134,18,b2,2.252,B1,3.137
0.328,60.747,60.75,2.05,3.567,120.342,396.766,0.959,0.952,196.747,0.939,50.123,398.903,80.339,13,0.3,1.966,0.829,122,4,10,53,20,c,2.556,B2,3.49
0.328,45.282,45.28,2.653,4.616,156.871,327.06,0.851,0.885,172.986,0.809,27.66,389.748,82.773,5,0.667,1.793,1.008,118,2,8,103,28,a,3.64,C,4.549
0.336,60.642,60.64,0.438,0.763,26.157,394.34,1.072,0.955,101.702,0.806,80.531,399.138,81.446,4,0.015,1.321,1.151,26,1,9,46,13,a,1.76,A2,0.759
0.336,59.65,59.65,2.713,4.721,161.865,390.2,0.974,0.993,106.118,0.847,39.33,406.871,79.863,3,0.25,1.45,1.26,161,1,10,280,29,a,3.94,C,4.694
0.336,57.899,57.9,1.897,3.301,113.157,394.34,0.965,1.047,111.127,0.851,19.48,273.09,80.17,2,0.015,1.444,1.25,109,1,7,190,18,c,2.252,B1,3.282
0.336,60.564,60.56,2.389,4.157,141.771,366.005,1.095,1.157,123.671,0.998,30.335,399.464,71.423,8,0.5,1.988,1.147,143,2,7,124.5,23,c,3,B2,4.111
0.336,45.543,45.54,1.564,2.721,93.128,327.06,0.854,0.567,125.222,1.046,91.062,399.766,89.323,3,0.5,1.599,1.385,71,1,6,123,14,b2,1.86,A2,2.701
0.336,60.407,60.41,0.693,1.205,41.1,394.34,1.178,0.898,97.487,0.764,104.826,396.259,83.305,6,0.015,1.586,0.891,41,2,6,36,10,a1,1.36,A2,1.192
0.341,45.465,45.47,1.979,3.443,116.042,398.136,0.99,1.009,199.466,0.941,50.647,418.237,84.773,8,0.125,1.88,0.849,88,3,7,51,18,c,2.276,B1,3.365
0.344,59.388,59.39,2.536,4.412,150.384,390.2,1.011,1.051,112.655,0.865,39.422,401.44,80.21,5,0.333,1.639,0.958,149,2,7,129.5,26,a,3.385,C,4.361
0.344,60.59,60.59,1.41,2.454,83.66,366.005,1.041,1.125,216.399,0.974,28.314,338.083,90.546,7,0.5,1.887,1.106,84,2,7,73.5,16,b1,2.14,B1,2.426
0.352,45.543,45.54,1.964,3.417,115.085,354.662,0.833,0.917,182.369,0.834,54.813,399.677,76.418,10,0.75,1.881,0.866,87,3,6,50.7,16,c,2.036,B1,3.337
0.352,60.485,60.49,0.5,0.87,29.645,394.34,1.823,2.116,393.742,1.669,27.884,400.499,264.05,8,0.015,1.523,0.853,30,2,5,26,10,a,1.36,A2,0.86
0.352,60.59,60.59,2.342,4.074,138.865,366.005,1.118,1.175,125.921,1.009,26.45,393.917,76.478,7,0.5,1.731,0.998,140,2,6,122,21,c,2.8,B2,4.027
0.357,60.668,60.67,2.237,3.893,131.865,394.34,1.124,1.152,122.841,0.956,51.881,399.969,79.975,9,0.015,1.679,0.754,133,3,6,77.3,19,c,2.45,B1,3.824
0.363,59.545,59.55,1.858,3.233,109.451,375.709,1.107,1.205,131.422,1.007,15.717,188.647,80.115,7,0.75,1.514,0.684,109,3,6,63,16,c,2.012,B1,3.174
0.365,59.963,59.96,2.63,4.576,147.217,342.928,1.08,1.08,213.531,1.039,49.588,415.356,64.037,40,0.75,2.784,0.779,147,11,7,23.3,28,a,3.68,C,4.269
0.368,60.59,60.59,1.306,2.272,77.4,399.645,0.816,0.887,90.163,0.742,14.373,230.23,71.925,7,0.167,1.662,0.954,78,2,6,68,13,b1,1.78,A2,2.245
0.368,45.23,45.23,1.499,2.608,89.199,390.2,0.929,0.928,111.504,0.904,21.073,265.768,72.258,3,0.25,1.378,1.206,67,1,9,117,19,b2,2.34,B1,2.587
0.368,45.282,45.28,2.354,4.097,140.118,390.2,0.836,0.895,173.657,0.791,34.62,399.825,71.917,3,0.25,1.652,1.498,106,1,6,184,21,c,2.8,B2,4.063
0.379,45.387,45.39,2.091,3.638,122.321,354.662,1.057,1.023,112.059,1.005,34.422,247.287,79.597,12,0.5,2.845,1.716,93,3,7,53.7,21,c,2.65,B2,3.547
0.381,60.015,60.02,2.239,3.896,124.106,379.946,0.988,1.014,198.214,0.916,44.488,404.41,73.281,37,0.615,2.132,0.656,124,12,7,18,21,c,2.61,B2,3.599
0.384,60.59,60.59,2.186,3.804,130.328,327.06,0.765,0.739,166.712,0.765,50.837,398.332,70.532,3,0.5,1.607,1.394,132,1,4,229,18,c,2.242,B1,3.78
0.384,60.485,60.49,2.658,4.626,158.488,390.2,1.007,1.047,112.431,0.88,33.472,398.658,79.982,3,0.25,1.403,1.223,160,1,7,278,28,a,3.68,C,4.596
0.384,60.721,60.72,2.105,3.663,125.504,390.2,0.955,0.957,192.329,0.903,47.154,403.285,86.467,2,0.25,1.661,1.45,127,1,10,221,22,c,2.85,B2,3.64
0.384,60.25,60.25,1.786,3.107,106.452,390.2,1.005,1.046,206.802,0.965,30.323,324.369,98.454,3,0.25,1.582,1.4,107,1,7,186,18,b2,2.252,B1,3.087
0.384,45.413,45.41,1.136,1.977,67.579,394.34,1.014,0.98,103.537,0.802,64.953,400.861,84.974,4,0.015,1.339,1.162,51,1,10,89,16,b1,2.1,B1,1.96
0.384,60.433,60.43,2.048,3.564,122.107,390.2,1.247,1.28,245.158,1.171,45.893,403.744,80.163,3,0.25,1.588,1.401,123,1,5,214,17,c,2.156,B1,3.541
0.384,45.387,45.39,1.91,3.323,111.684,327.06,0.939,1.009,194.068,0.88,43.447,396.694,64.854,8,0.75,2.242,1.057,84,3,7,49,18,c,2.252,B1,3.239
0.385,60.433,60.43,2.066,3.595,115.26,394.34,0.878,0.865,101.977,0.851,24.965,381.402,79.044,39,0.015,1.902,0.44,116,11,8,18.4,19,c,2.444,B1,3.343
